alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
15.19,2.0,13.83,,yt01_001300.jpg,13.83,147.61,30.56,True,32.29,17.58,0.88,yt01,0.7,Neutral Standing,,27.58,True,5.02,22.51
9.84,2.0,7.12,,yt01_001450.jpg,7.12,31.84,95.83,True,83.57,164.53,12.48,yt01,0.7,Neutral Standing,,151.81,True,1.73,23.23
12.22,2.0,0.25,,yt01_001500.jpg,0.25,16.91,132.28,True,78.62,121.03,0.32,yt01,0.7,Neutral Standing,,144.36,True,0.2,26.53
11.09,2.0,4.75,,yt01_001550.jpg,4.75,169.55,112.57,True,75.16,130.57,2.77,yt01,0.7,Neutral Standing,,140.21,True,0.31,6.04
31.38,2.0,43.01,,yt01_001600.jpg,43.01,177.48,141.36,True,156.42,158.89,16.47,yt01,0.7,Neutral Standing,,143.94,True,0.78,97.57
11.66,2.0,39.15,,yt01_001700.jpg,39.15,160.68,172.47,True,179.44,159.62,49.14,yt01,0.7,Neutral Standing,,151.02,True,9.75,24.66
12.1,2.0,61.7,,yt01_001750.jpg,61.7,77.02,109.11,True,179.67,131.99,2.02,yt01,0.7,Neutral Standing,,151.35,True,5.92,44.27
12.54,2.0,64.44,,yt01_001800.jpg,64.44,75.3,96.76,True,172.85,98.19,10.7,yt01,0.7,Neutral Standing,,155.54,True,6.8,84.81
12.38,2.0,61.67,,yt01_001850.jpg,61.67,76.22,96.66,True,171.92,100.51,11.04,yt01,0.7,Neutral Standing,,154.53,True,6.36,82.05
12.36,2.0,61.5,,yt01_001900.jpg,61.5,77.5,99.04,True,171.78,98.76,12.63,yt01,0.7,Neutral Standing,,154.79,True,6.25,85.04
14.17,2.0,53.11,,yt01_002000.jpg,53.11,165.36,58.84,True,150.36,59.49,0.97,yt01,0.7,Neutral Standing,,118.42,True,1.92,93.47
13.59,2.0,51.17,,yt01_002050.jpg,51.17,170.23,57.66,True,146.91,54.59,1.18,yt01,0.7,Neutral Standing,,117.75,True,2.27,98.66
13.25,2.0,48.82,,yt01_002100.jpg,48.82,168.25,59.21,True,142.77,58.47,2.36,yt01,0.7,Neutral Standing,,118.95,True,1.61,84.84
12.71,2.0,59.72,,yt01_002200.jpg,59.72,67.4,101.64,True,171.35,96.16,11.05,yt01,0.7,Neutral Standing,,156.77,True,7.47,88.28
12.29,2.0,63.78,,yt01_002250.jpg,63.78,74.79,98.48,True,176.64,94.28,13.85,yt01,0.7,Neutral Standing,,153.88,True,6.21,88.92
12.18,2.0,62.66,,yt01_002300.jpg,62.66,80.24,104.18,True,176.73,104.45,4.32,yt01,0.7,Neutral Standing,,151.97,True,5.8,90.08
12.17,2.0,63.59,,yt01_002350.jpg,63.59,77.91,100.74,True,176.93,99.28,6.96,yt01,0.7,Neutral Standing,,153.68,True,6.16,86.8
13.93,2.0,51.17,,yt01_002400.jpg,51.17,162.91,57.52,True,150.73,60.15,0.43,yt01,0.7,Neutral Standing,,118.73,True,1.53,98.02
19.94,2.0,118.28,,yt01_002450.jpg,118.28,110.89,113.52,True,175.34,120.03,20.12,yt01,0.7,Neutral Standing,,135.33,True,6.06,118.95
11.19,2.0,77.22,,yt01_002500.jpg,77.22,62.76,97.94,True,146.66,94.0,34.07,yt01,0.7,Neutral Standing,,141.53,True,5.55,97.9
28.95,2.0,20.14,,yt01_002600.jpg,20.14,176.83,150.07,True,175.04,156.07,10.87,yt01,0.7,Neutral Standing,,146.8,True,1.3,119.81
1.63,2.0,16.68,,yt01_002650.jpg,16.68,43.04,119.06,True,122.83,72.0,19.42,yt01,0.7,Neutral Standing,,74.46,True,1.13,34.15
9.96,2.0,23.33,,yt01_002750.jpg,23.33,176.51,145.57,True,107.32,150.33,12.1,yt01,0.7,Neutral Standing,,132.81,True,0.42,71.41
10.04,2.0,62.79,,yt01_002800.jpg,62.79,46.71,165.98,True,0.46,159.55,9.85,yt01,0.7,Neutral Standing,,106.21,True,2.51,26.06
11.82,2.0,26.18,,yt01_002950.jpg,26.18,164.12,153.58,True,84.56,175.95,12.56,yt01,0.7,Neutral Standing,,160.28,True,18.48,16.88
12.4,2.0,64.46,,yt01_003050.jpg,64.46,70.85,105.94,True,179.06,110.47,2.03,yt01,0.7,Neutral Standing,,153.19,True,6.17,81.39
11.73,2.0,49.01,,yt01_003100.jpg,49.01,55.56,90.32,True,179.92,92.91,1.78,yt01,0.7,Neutral Standing,,130.23,True,2.52,68.72
11.41,2.0,48.79,,yt01_003150.jpg,48.79,70.05,89.09,True,179.51,93.39,0.49,yt01,0.7,Neutral Standing,,129.73,True,2.5,67.61
17.67,2.0,77.14,,yt01_003300.jpg,77.14,130.86,114.05,True,165.93,102.74,27.54,yt01,0.7,Neutral Standing,,141.48,True,8.18,68.56
21.11,2.0,107.83,,yt01_003350.jpg,107.83,84.03,105.46,True,168.84,65.18,13.4,yt01,0.7,Neutral Standing,,140.33,True,11.61,126.09
12.19,2.0,57.86,,yt01_003550.jpg,57.86,83.01,99.34,True,170.57,95.33,11.33,yt01,0.7,Neutral Standing,,152.59,True,5.78,85.78
8.46,2.0,41.31,,yt01_003600.jpg,41.31,172.73,57.52,True,178.0,57.41,2.0,yt01,0.7,Neutral Standing,,136.6,True,3.06,62.08
9.54,2.0,35.73,,yt01_003650.jpg,35.73,160.99,55.44,True,162.56,74.16,14.03,yt01,0.7,Neutral Standing,,146.61,True,4.35,39.51
8.57,2.0,35.35,,yt01_003700.jpg,35.35,162.18,69.53,True,176.9,70.02,8.29,yt01,0.7,Neutral Standing,,144.74,True,4.36,52.01
14.53,2.0,22.02,,yt01_003800.jpg,22.02,167.01,110.31,True,132.94,74.2,4.95,yt01,0.7,Neutral Standing,,134.8,True,3.18,30.73
6.2,2.0,13.57,,yt01_003850.jpg,13.57,163.79,164.86,True,143.3,101.48,42.39,yt01,0.7,Neutral Standing,,101.78,True,1.4,36.99
