source,sample_id,neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,label
multiposture,multiposture_4245,14.3195,2.7055,21.8139,14.6217,11.7738,1.3974,MEDIUM
multiposture,multiposture_4246,14.8072,1.9006,33.8054,22.6035,10.2749,2.8266,MEDIUM
multiposture,multiposture_4247,15.0549,1.8507,27.0178,20.4289,10.3444,3.0559,MEDIUM
multiposture,multiposture_4248,18.5412,1.8305,25.0654,18.087,10.358,4.8569,MEDIUM
multiposture,multiposture_4249,19.0877,1.9501,24.0038,16.6298,10.4347,4.8287,MEDIUM
multiposture,multiposture_4250,14.9728,1.4533,23.2933,14.8399,9.0748,3.4917,MEDIUM
multiposture,multiposture_4251,15.9171,1.3207,23.8786,14.8653,10.8467,4.0221,MEDIUM
multiposture,multiposture_4252,10.9388,0.8946,25.4842,15.0602,11.2981,2.6815,MEDIUM
multiposture,multiposture_4253,11.5605,1.0313,23.5591,14.8854,13.4355,2.8346,MEDIUM
multiposture,multiposture_4254,0.4613,3.4722,9.3891,14.8099,13.7674,7.7411,MEDIUM
multiposture,multiposture_4255,9.0889,2.8587,15.6433,14.8028,13.3794,1.5936,MEDIUM
multiposture,multiposture_4256,8.1735,1.1501,17.0431,14.598,14.3758,1.6686,MEDIUM
multiposture,multiposture_4257,6.6661,0.6972,17.2095,14.0415,14.7493,1.7223,MEDIUM
multiposture,multiposture_4258,6.5126,0.7579,17.2443,12.9492,16.6415,1.4037,HIGH
multiposture,multiposture_4259,6.4949,0.8418,17.0414,12.3864,16.7927,1.2175,HIGH
multiposture,multiposture_4260,5.4974,0.2186,18.6682,12.0189,16.949,2.1262,HIGH
multiposture,multiposture_4261,6.0778,0.5021,18.043,12.2424,16.9103,1.7365,HIGH
multiposture,multiposture_4262,0.5009,0.3111,16.873,12.3752,18.0516,0.9116,HIGH
multiposture,multiposture_4263,2.2018,0.3845,16.9466,12.1492,17.2177,0.1619,HIGH
multiposture,multiposture_4264,3.5317,0.3497,17.1487,12.0819,16.9286,0.8556,HIGH
multiposture,multiposture_4265,3.6748,0.3246,16.8685,12.0924,16.7887,0.9754,HIGH
multiposture,multiposture_4266,4.0751,0.3355,16.8013,12.1915,16.2585,1.1351,HIGH
multiposture,multiposture_4267,4.4552,0.2702,16.7533,12.1299,16.3357,1.4506,HIGH
multiposture,multiposture_4268,5.0684,0.1925,16.9875,12.2055,15.7618,1.9184,HIGH
multiposture,multiposture_4269,5.4742,0.1669,16.9742,12.0498,15.5739,2.1775,HIGH
multiposture,multiposture_4270,6.2957,0.3651,16.9346,12.2734,15.4248,2.1446,HIGH
multiposture,multiposture_4271,6.0579,0.3172,17.1573,12.2071,15.6828,2.1426,HIGH
multiposture,multiposture_4272,5.9895,0.268,17.6973,12.0131,15.523,2.2172,HIGH
multiposture,multiposture_4273,5.8723,0.2485,17.1254,12.0429,15.7652,2.2115,HIGH
multiposture,multiposture_4274,5.3578,0.1218,18.4556,12.0625,15.5104,2.2021,HIGH
multiposture,multiposture_4275,5.1158,0.0636,18.4412,11.9099,15.4412,2.2194,HIGH
multiposture,multiposture_4276,2.6366,0.1874,18.3694,11.7958,15.2037,0.808,HIGH
multiposture,multiposture_4277,3.4511,0.3594,18.0081,11.9618,15.5257,0.8127,HIGH
multiposture,multiposture_4278,4.0479,0.4138,17.7185,11.3336,16.0714,1.0075,HIGH
multiposture,multiposture_4279,4.277,0.4316,17.812,11.379,16.1272,1.0783,HIGH
multiposture,multiposture_4280,0.8579,0.4133,16.2008,11.3721,16.9623,0.5104,HIGH
multiposture,multiposture_4281,4.796,0.3341,15.5069,11.4432,17.6029,3.011,HIGH
multiposture,multiposture_4282,7.7151,0.4228,14.5209,11.9756,17.7307,4.5976,HIGH
multiposture,multiposture_4283,6.8213,0.4143,14.6382,11.6743,17.4842,4.1679,HIGH
multiposture,multiposture_4284,10.1282,4.4076,29.6897,14.8625,11.048,4.8211,MEDIUM
multiposture,multiposture_4285,10.4477,4.8796,29.351,13.3655,13.6477,5.7282,MEDIUM
multiposture,multiposture_4286,10.7007,5.0667,28.1571,14.7301,15.1799,6.0552,HIGH
multiposture,multiposture_4287,5.8234,5.3298,24.5419,15.5463,17.7576,9.0469,HIGH
multiposture,multiposture_4288,6.4707,5.3407,24.4393,17.2278,18.5629,8.7556,HIGH
multiposture,multiposture_4289,2.7694,4.9061,23.136,14.6718,18.6816,9.6035,HIGH
multiposture,multiposture_4290,3.0142,4.6063,23.4664,15.3172,18.5465,8.8114,HIGH
multiposture,multiposture_4291,3.7636,4.6619,24.0637,14.7271,19.3703,8.5683,HIGH
multiposture,multiposture_4292,4.0351,4.4926,24.4931,15.1177,19.5368,8.0585,HIGH
multiposture,multiposture_4293,4.0134,4.4644,25.0694,15.3024,20.2287,8.0085,HIGH
multiposture,multiposture_4294,3.5678,4.3525,25.5455,14.8802,20.4188,7.9808,HIGH
multiposture,multiposture_4295,3.1755,4.1228,25.1612,14.9025,20.7505,7.6663,HIGH
multiposture,multiposture_4296,2.213,3.8407,25.8612,12.7487,20.9296,7.5182,HIGH
multiposture,multiposture_4297,2.7192,3.9187,25.6165,12.6988,20.9264,7.4397,HIGH
multiposture,multiposture_4298,3.1055,3.9567,25.5514,13.0453,20.838,7.3315,HIGH
multiposture,multiposture_4299,3.2448,3.9305,25.0706,13.1698,20.9083,7.2029,HIGH
multiposture,multiposture_4300,3.6015,3.9423,25.1173,12.4332,20.5593,7.0499,HIGH
multiposture,multiposture_4301,3.8472,4.0618,25.538,12.6068,20.9522,7.1934,HIGH
multiposture,multiposture_4302,4.0375,4.0046,25.1448,12.8095,20.8586,6.9668,HIGH
multiposture,multiposture_4303,3.987,3.92,25.3229,12.7579,20.7224,6.8021,HIGH
multiposture,multiposture_4304,4.2656,3.8111,25.377,13.9911,20.58,6.4141,HIGH
multiposture,multiposture_4305,4.3627,3.8038,25.3576,13.2039,20.208,6.3483,HIGH
multiposture,multiposture_4306,4.7441,3.7372,25.3481,13.4666,19.9992,6.0003,HIGH
multiposture,multiposture_4307,4.8472,3.7899,25.3707,14.6009,20.1776,6.0664,HIGH
multiposture,multiposture_4308,4.7568,3.7902,25.3894,14.0611,19.9954,6.1128,HIGH
multiposture,multiposture_4309,4.967,3.9312,25.3764,14.0263,19.9028,6.3235,HIGH
multiposture,multiposture_4310,4.7603,3.958,25.4267,15.0582,20.5128,6.4942,HIGH
multiposture,multiposture_4311,4.5256,3.9264,25.1668,14.9687,20.6959,6.5431,HIGH
multiposture,multiposture_4312,4.5659,4.0278,25.1559,15.6836,20.6559,6.7508,HIGH
multiposture,multiposture_4313,2.0788,0.4516,10.4624,3.2402,10.5331,2.1687,MEDIUM
multiposture,multiposture_4314,0.5065,0.4736,9.4052,2.1699,11.028,1.358,MEDIUM
multiposture,multiposture_4315,0.2185,0.4749,8.7941,1.7533,12.1503,0.9647,MEDIUM
multiposture,multiposture_4316,5.8754,2.6931,5.8589,3.0601,14.0126,9.366,MEDIUM
multiposture,multiposture_4317,1.2481,2.5585,6.4378,2.9867,14.1906,6.5037,MEDIUM
multiposture,multiposture_4318,3.7669,2.0119,6.1723,2.6677,14.151,2.5768,MEDIUM
multiposture,multiposture_4319,3.9266,1.8792,6.3829,2.4818,13.9321,2.2118,MEDIUM
multiposture,multiposture_4320,3.3166,1.6571,6.5874,2.193,13.9433,2.026,MEDIUM
multiposture,multiposture_4321,3.6288,1.6963,6.8947,2.1264,14.2074,1.9609,MEDIUM
multiposture,multiposture_4322,3.3216,1.6018,7.1562,2.2186,14.6782,1.8967,MEDIUM
multiposture,multiposture_4323,4.5721,1.4202,7.5225,2.5614,14.6056,0.843,MEDIUM
multiposture,multiposture_4324,7.6786,2.0407,7.1285,3.5533,15.2863,8.6963,HIGH
multiposture,multiposture_4325,6.9491,2.0379,7.1602,3.2987,15.6595,8.3726,HIGH
multiposture,multiposture_4326,5.4329,2.2416,6.9083,2.9997,16.064,8.0911,HIGH
multiposture,multiposture_4327,5.051,2.3059,6.7294,2.8927,16.0976,8.0572,HIGH
multiposture,multiposture_4328,3.9588,2.2846,6.724,2.7237,16.302,7.3804,HIGH
multiposture,multiposture_4329,3.5115,2.0051,6.7836,2.5347,16.148,6.4982,HIGH
multiposture,multiposture_4330,6.515,1.9629,6.5903,3.2371,15.8599,8.0255,HIGH
multiposture,multiposture_4331,3.0397,1.7516,6.6253,2.8903,15.7346,5.6729,HIGH
multiposture,multiposture_4332,3.3964,1.7491,6.6987,2.9256,15.8555,5.8621,HIGH
multiposture,multiposture_4333,5.2791,1.71,6.461,3.3258,15.484,6.8,HIGH
multiposture,multiposture_4334,5.5511,1.7213,6.2993,3.1152,15.4971,6.9877,HIGH
multiposture,multiposture_4335,5.8832,1.4265,5.4058,2.8379,15.5167,6.5068,HIGH
multiposture,multiposture_4336,2.0483,1.3447,6.046,2.7251,15.5501,4.2088,HIGH
multiposture,multiposture_4337,0.9533,1.4292,6.3489,2.7673,15.7867,2.7385,HIGH
multiposture,multiposture_4338,2.8966,1.3402,6.4118,2.6753,15.6752,1.5493,HIGH
multiposture,multiposture_4339,3.4341,1.3475,6.4007,2.6594,15.3392,1.2995,HIGH
multiposture,multiposture_4340,3.4805,1.3969,6.6209,2.6373,15.2728,1.3877,HIGH
